list-none-s,4,1000,16,12000, 5016688, 418, 1335
list-none-s,8,1000,1,24000, 170418967, 7100, 46170
list-none-s,8,1000,4,24000, 13436616, 559, 4098
list-none-s,8,1000,8,24000, 17087528, 711, 5241
list-none-s,8,1000,16,24000, 17260198, 719, 5179
list-none-s,12,1000,1,36000, 662838927, 18412, 226643
list-none-s,12,1000,4,36000, 22615013, 628, 6106
list-none-s,12,1000,8,36000, 28154044, 782, 7545
list-none-s,12,1000,16,36000, 26425696, 734, 7816
list-none-m,1,1000,1,3000, 3208343, 1069, 55
list-none-m,1,1000,4,3000, 520581, 173, 54
list-none-m,1,1000,8,3000, 503666, 167, 50
list-none-m,1,1000,16,3000, 525633, 175, 49
list-none-m,2,1000,1,6000, 18131364, 3021, 3034
list-none-m,2,1000,4,6000, 2216480, 369, 337
list-none-m,2,1000,8,6000, 1717874, 286, 223
list-none-m,2,1000,16,6000, 1551567, 258, 188
list-none-m,4,1000,1,12000, 44331352, 3694, 8239
list-none-m,4,1000,4,12000, 4889997, 407, 872
list-none-m,4,1000,8,12000, 4642922, 386, 819
list-none-m,4,1000,16,12000, 4531918, 377, 781
list-none-m,8,1000,1,24000, 97892326, 4078, 18415
list-none-m,8,1000,4,24000, 12590216, 524, 2368
list-none-m,8,1000,8,24000, 12137145, 505, 2237
list-none-m,8,1000,16,24000, 12564382, 523, 2316
list-none-m,12,1000,1,36000, 176001249, 4888, 34261
list-none-m,12,1000,4,36000, 19860009, 551, 3570
list-none-m,12,1000,8,36000, 19674123, 546, 3630
list-none-m,12,1000,16,36000, 18530191, 514, 3324
