add-yield-none,12,10,240, 36979314,154080,0
add-yield-none,2,20,80, 38855808,485697,0
add-yield-none,4,20,160, 25489651,159310,0
add-yield-none,8,20,320, 29797329,93116,0
add-yield-none,12,20,480, 68003675,141674,0
add-yield-none,2,40,160, 36647152,229044,0
add-yield-none,4,40,320, 34468081,107712,0
add-yield-none,8,40,640, 45550252,71172,0
add-yield-none,12,40,960, 55675042,57994,0
add-yield-none,2,80,320, 30786091,96206,0
add-yield-none,4,80,640, 28187660,44043,0
add-yield-none,8,80,1280, 46565634,36379,0
add-yield-none,12,80,1920, 42083516,21918,0
add-yield-none,2,100,400, 33221107,83052,0
add-yield-none,4,100,800, 51531003,64413,0
add-yield-none,8,100,1600, 31715578,19822,0
add-yield-none,12,100,2400, 43816424,18256,0
add-yield-none,2,1000,4000, 37551577,9387,0
add-yield-none,4,1000,8000, 40552520,5069,0
add-yield-none,8,1000,16000, 64560829,4035,0
add-yield-none,12,1000,24000, 49708135,2071,-203
add-yield-none,2,10000,40000, 172552395,4313,0
add-yield-none,4,10000,80000, -852494729,-10656,-2098
add-yield-none,8,10000,160000, 127887387,799,-639
add-yield-none,12,10000,240000, 136227067,567,2855
add-yield-none,2,100000,400000, -263902716,-659,-17564
add-yield-none,4,100000,800000, 603578186,754,-71106
add-yield-none,8,100000,1600000, -185089393,-115,-10994
add-yield-none,12,100000,2400000, -6667920,-2,3478
add-none,1,100,200, 14480357,72401,0
add-none,1,1000,2000, 14510544,7255,0
add-none,1,10000,20000, 15214503,760,0
add-none,1,100000,200000, 16527531,82,0
add-none,1,1000000,2000000, 47260827,23,0
add-none,2,100,400, 14258532,35646,0
add-none,2,1000,4000, 14564542,3641,0
add-none,2,10000,40000, 15240067,381,0
add-none,2,100000,400000, 24495165,61,0
add-none,2,1000000,4000000, 120502609,30,-6879
add-none,4,100,800, 25482889,31853,-49
add-none,4,1000,8000, 22305665,2788,-181
add-none,4,10000,80000, 21542322,269,-511
add-none,4,100000,800000, -975572968,-1219,-27819
add-none,4,1000000,8000000, 151424457,18,-455230
add-yield-none,1,100,200, 31697679,158488,0
add-yield-none,1,1000,2000, 41676887,20838,0
add-yield-none,1,10000,20000, 172317232,8615,0
add-yield-none,1,100000,200000, 38778586,193,0
add-yield-none,1,1000000,2000000, -633773043,-316,0
add-yield-none,2,100,400, 34018880,85047,0
add-yield-none,2,1000,4000, 45455418,11363,0
add-yield-none,2,10000,40000, 106945005,2673,0
add-yield-none,2,100000,400000, -238496361,-596,46
add-yield-none,2,1000000,4000000, 485988152,121,-394780
add-yield-none,4,100,800, 39830642,49788,0
add-yield-none,4,1000,8000, -962016700,-120252,0
add-yield-none,4,10000,80000, 151895341,1898,-193
add-yield-none,4,100000,800000, 396131780,495,-13403
add-yield-none,4,1000000,8000000, -620933916,-77,-187015
add-yield-m,2,10000,40000, 171535465,4288,0
add-yield-m,4,10000,80000, 276852066,3460,0
add-yield-m,8,10000,160000, 9413587,58,0
add-yield-m,12,10000,240000, -158633961,-660,0
add-yield-c,2,10000,40000, 31663598,791,0
add-yield-c,4,10000,80000, 21911914,273,0
add-yield-c,8,10000,160000, 44724315,279,0
add-yield-c,12,10000,240000, 65308186,272,0
add-yield-s,2,10000,40000, 18559119,463,0
add-yield-s,4,10000,80000, 31482629,393,0
add-yield-s,8,1000,16000, 24050904,1503,0
add-yield-s,12,1000,24000, 35793822,1491,0
add-m,1,10000,20000, 42460725,2123,0
add-m,2,10000,40000, 45694851,1142,0
add-m,4,10000,80000, 53143122,664,0
add-m,8,10000,160000, 82323658,514,0
add-m,12,10000,240000, 133831515,557,0
add-c,1,10000,20000, 10701670,535,0
add-c,2,10000,40000, 20533901,513,0
add-c,4,10000,80000, 41577158,519,0
add-c,8,10000,160000, 44558785,278,0
add-c,12,10000,240000, 68715905,286,0
add-s,1,10000,20000, 19186273,959,0
add-s,2,10000,40000, 22081995,552,0
add-s,4,10000,80000, 18841798,235,0
add-s,8,10000,160000, 43475485,271,0
add-s,12,10000,240000, 40540574,168,0
add-none,2,100,400, 128449,321,0
add-none,2,1000,4000, 154477,38,-163
add-none,2,10000,40000, 793268,19,-2022
add-none,2,100000,400000, 6211472,15,-1009
add-none,4,100,800, 151001,188,0
add-none,4,1000,8000, 238405,29,67
add-none,4,10000,80000, 1560010,19,-1300
add-none,4,100000,800000, 14197022,17,-40059
add-none,8,100,1600, 296359,185,0
add-none,8,1000,16000, 442655,27,-350
add-none,8,10000,160000, 3195221,19,-1827
add-none,8,100000,1600000, 30009888,18,-74740
add-none,12,100,2400, 394642,164,0
add-none,12,1000,24000, 539393,22,433
add-none,12,10000,240000, 4537871,18,-3872
add-none,12,100000,2400000, -957861827,-399,-33522
add-yield-none,2,10,40, 113883,2847,0
add-yield-none,4,10,80, 174207,2177,0
add-yield-none,8,10,160, 296525,1853,0
add-yield-none,12,10,240, 346720,1444,0
add-yield-none,2,20,80, 122417,1530,0
add-yield-none,4,20,160, 156041,975,6
add-yield-none,8,20,320, 271100,847,6
add-yield-none,12,20,480, 392295,817,7
add-yield-none,2,40,160, 135054,844,35
add-yield-none,4,40,320, 187067,584,103
add-yield-none,8,40,640, 382960,598,100
add-yield-none,12,40,960, 456101,475,197
add-yield-none,2,80,320, 193828,605,38
add-yield-none,4,80,640, 255123,398,111
add-yield-none,8,80,1280, 401809,313,117
add-yield-none,12,80,1920, 506440,263,96
add-yield-none,2,100,400, 224564,561,-30
add-yield-none,4,100,800, 259333,324,108
add-yield-none,8,100,1600, 371209,232,147
add-yield-none,12,100,2400, 492580,205,88
add-yield-none,2,1000,4000, 1036638,259,-33
add-yield-none,4,1000,8000, 1204873,150,117
add-yield-none,8,1000,16000, 1336819,83,280
add-yield-none,12,1000,24000, 1857899,77,167
add-yield-none,2,10000,40000, 10471744,261,48
add-yield-none,4,10000,80000, 11195142,139,-23
add-yield-none,8,10000,160000, 11035667,68,46
add-yield-none,12,10000,240000, 15761865,65,-530
add-yield-none,2,100000,400000, 83084074,207,-141
add-yield-none,4,100000,800000, 89892353,112,-43338
add-yield-none,8,100000,1600000, 111532909,69,-1436
add-yield-none,12,100000,2400000, 126422349,52,-8276
add-none,1,100,200, 102963,514,0
add-none,1,1000,2000, 107051,53,0
add-none,1,10000,20000, 254600,12,0
add-none,1,100000,200000, 1759011,8,0
add-none,1,1000000,2000000, 16715711,8,0
add-none,2,100,400, 134205,335,0
add-none,2,1000,4000, 153240,38,0
add-none,2,10000,40000, 867562,21,-3162
add-none,2,100000,400000, 5917231,14,-8107
add-none,2,1000000,4000000, 69847684,17,-207514
add-none,4,100,800, 213605,267,0
add-none,4,1000,8000, 202313,25,293
add-none,4,10000,80000, 1349340,16,-8029
add-none,4,100000,800000, 15022990,18,-18010
add-none,4,1000000,8000000, 124914396,15,-28026
add-yield-none,1,100,200, 148583,742,0
add-yield-none,1,1000,2000, 563482,281,0
add-yield-none,1,10000,20000, 4713827,235,0
add-yield-none,1,100000,200000, 56031217,280,0
add-none,2,100,400, 110111,275,0
add-none,2,1000,4000, 128854,32,67
add-none,2,10000,40000, 602490,15,-9032
add-none,2,100000,400000, 7754422,19,-8901
add-none,4,100,800, 162283,202,0
add-none,4,1000,8000, 224786,28,-15
add-none,4,10000,80000, 1570961,19,-293
