list-none-none,1,10,1,30, 50936, 1697
list-none-none,1,100,1,300, 75060, 250
list-none-none,1,1000,1,3000, 2553968, 851
list-none-none,1,10000,1,30000, 249839329, 8327
list-none-none,1,20000,1,60000, 9821116, 163
list-none-none,2,1,1,6, 70592, 11765
list-none-none,2,10,1,60, 110019, 1833
list-none-none,4,1,1,12, 116434, 9702
list-none-none,4,10,1,120, 139458, 1162
list-none-none,8,1,1,24, 230720, 9613
list-none-none,8,10,1,240, 277103, 1154
list-none-none,12,1,1,36, 350410, 9733
list-none-none,12,10,1,360, 377683, 1049
list-i-none,2,1,1,6, 93282, 15547
list-i-none,2,2,1,12, 79817, 6651
list-i-none,2,4,1,24, 80901, 3370
list-i-none,2,8,1,48, 109973, 2291
list-i-none,2,16,1,96, 152378, 1587
list-i-none,2,32,1,192, 422659, 2201
list-i-none,4,1,1,12, 114690, 9557
list-i-none,4,2,1,24, 102052, 4252
list-i-none,4,8,1,96, 123213, 1283
list-i-none,8,1,1,24, 240072, 10003
list-i-none,8,2,1,48, 234335, 4881
list-i-none,8,4,1,96, 254160, 2647
list-i-none,8,8,1,192, 281319, 1465
list-i-none,12,1,1,36, 339950, 9443
list-i-none,12,2,1,72, 470298, 6531
list-i-none,12,4,1,144, 374535, 2600
list-i-none,12,8,1,288, 346266, 1202
list-i-none,12,16,1,576, 856311, 1486
list-d-none,2,1,1,6, 78443, 13073
list-d-none,2,2,1,12, 68375, 5697
list-d-none,2,4,1,24, 81462, 3394
list-d-none,2,8,1,48, 79131, 1648
list-d-none,2,16,1,96, 116925, 1217
list-d-none,2,32,1,192, 91731, 477
list-d-none,4,1,1,12, 143044, 11920
list-d-none,4,2,1,24, 118498, 4937
list-d-none,4,4,1,48, 103524, 2156
list-d-none,4,8,1,96, 117621, 1225
list-d-none,4,16,1,192, 182323, 949
list-d-none,8,1,1,24, 233635, 9734
list-d-none,8,2,1,48, 229210, 4775
list-d-none,8,4,1,96, 321036, 3344
list-d-none,8,8,1,192, 288767, 1503
list-d-none,8,16,1,384, 268394, 698
list-d-none,12,1,1,36, 399745, 11104
list-d-none,12,2,1,72, 363572, 5049
list-d-none,12,4,1,144, 383805, 2665
list-d-none,12,8,1,288, 350953, 1218
list-d-none,12,16,1,576, 362285, 628
list-il-none,2,1,1,6, 67279, 11213
list-il-none,2,2,1,12, 96424, 8035
